iter	Passed	Remaining
566	17149	13096
567	17172	13060
568	17200	13029
569	17230	12998
570	17252	12962
571	17280	12930
572	17310	12899
573	17349	12876
574	17378	12844
575	17401	12809
576	17428	12776
577	17453	12743
578	17479	12709
579	17511	12681
580	17539	12649
581	17563	12614
582	17591	12582
583	17614	12547
584	17646	12518
585	17676	12488
586	17706	12458
587	17737	12428
588	17778	12405
589	17805	12373
590	17843	12348
591	17874	12319
592	17901	12286
593	17932	12256
594	17962	12226
595	17989	12194
596	18022	12165
597	18062	12142
598	18086	12107
599	18108	12072
600	18135	12040
601	18165	12009
602	18201	11983
603	18229	11952
604	18255	11918
605	18281	11885
606	18310	11855
607	18332	11819
608	18369	11793
609	18394	11760
610	18422	11729
611	18443	11693
612	18475	11663
613	18498	11629
614	18522	11595
615	18549	11563
616	18576	11531
617	18610	11503
618	18639	11472
619	18669	11442
620	18697	11411
621	18723	11378
622	18751	11346
623	18785	11319
624	18823	11293
625	18850	11261
626	18880	11231
627	18905	11198
628	18935	11168
629	18965	11138
630	19000	11111
631	19032	11082
632	19064	11053
633	19093	11022
634	19117	10989
635	19139	10954
636	19169	10923
637	19201	10894
638	19229	10863
639	19254	10830
640	19285	10801
641	19315	10771
642	19343	10739
643	19368	10707
644	19398	10676
645	19431	10648
646	19466	10621
647	19499	10592
648	19529	10562
649	19558	10531
650	19589	10501
651	19618	10471
652	19645	10439
653	19672	10407
654	19703	10378
655	19726	10344
656	19751	10311
657	19775	10278
658	19824	10258
659	19865	10233
660	19917	10214
661	19943	10182
662	19969	10150
663	20003	10122
664	20032	10091
665	20060	10060
666	20086	10028
667	20116	9997
668	20139	9964
669	20162	9930
670	20188	9898
671	20216	9867
672	20244	9836
673	20266	9802
674	20296	9772
675	20425	9789
676	20492	9777
677	20587	9777
678	20664	9769
679	20724	9752
680	20758	9724
681	20869	9731
682	20902	9701
683	20924	9666
684	20953	9635
685	20986	9606
686	21010	9572
687	21037	9540
688	21067	9509
689	21092	9476
690	21116	9442
691	21138	9408
692	21170	9378
693	21195	9345
694	21220	9312
695	21254	9283
696	21288	9254
697	21317	9223
698	21342	9190
699	21370	9158
700	21396	9126
701	21421	9093
702	21451	9062
703	21483	9032
704	21510	9000
705	21534	8967
706	21562	8936
707	21594	8906
708	21618	8872
709	21642	8839
710	21678	8811
711	21714	8783
712	21744	8752
713	21769	8720
714	21812	8694
715	21836	8661
716	21862	8629
717	21892	8598
718	21917	8565
719	21941	8532
720	21968	8501
721	22001	8471
722	22026	8438
723	22051	8406
724	22075	8373
725	22106	8343
726	22137	8313
727	22163	8280
728	22186	8247
729	22216	8216
730	22240	8184
731	22268	8153
732	22297	8122
733	22328	8091
734	22351	8058
735	22377	8026
736	22404	7995
737	22431	7963
738	22456	7931
739	22481	7899
740	22510	7868
741	22534	7835
742	22563	7804
743	22596	7775
744	22628	7745
745	22657	7714
746	22680	7681
747	22715	7652
748	22744	7622
749	22794	7598
750	22829	7569
751	22857	7538
752	22888	7507
753	22922	7478
754	22946	7446
755	22978	7416
756	23010	7386
757	23040	7355
758	23063	7323
759	23087	7290
760	23113	7258
761	23146	7229
762	23173	7197
763	23204	7167
764	23238	7138
765	23266	7107
766	23290	7075
767	23319	7044
768	23349	7013
769	23380	6983
770	23421	6956
771	23454	6926
772	23486	6897
773	23513	6865
774	23542	6835
775	23567	6802
776	23600	6773
777	23630	6742
778	23663	6713
779	23690	6681
780	23725	6652
781	23757	6622
782	23792	6593
783	23821	6563
784	23860	6535
785	23895	6505
786	23922	6474
787	23954	6444
788	23977	6412
789	24002	6380
790	24028	6348
791	24057	6318
792	24089	6288
793	24116	6256
794	24139	6224
795	24168	6194
796	24192	6162
797	24219	6130
798	24241	6098
799	24274	6068
800	24307	6038
801	24336	6008
802	24366	5977
803	24389	5945
804	24417	5914
805	24445	5883
806	24474	5853
807	24499	5821
808	24525	5790
809	24548	5758
810	24577	5727
811	24601	5695
812	24632	5665
813	24661	5635
814	24689	5604
815	24721	5574
816	24746	5542
817	24792	5516
818	24814	5484
819	24839	5452
820	24870	5422
821	24895	5390
822	24923	5360
823	24944	5327
824	24972	5297
825	25003	5267
826	25027	5235
827	25053	5204
828	25078	5172
829	25106	5142
830	25138	5112
831	25164	5081
832	25191	5050
833	25221	5020
834	25247	4989
835	25271	4957
836	25304	4927
837	25333	4897
838	25356	4865
839	25385	4835
840	25418	4805
841	25446	4775
842	25470	4743
843	25498	4713
844	25528	4682
845	25551	4651
846	25584	4621
847	25622	4592
848	25648	4561
849	25679	4531
850	25713	4502
851	25763	4475
852	25792	4444
853	25823	4414
854	25846	4383
855	25876	4353
856	25898	4321
857	25928	4291
858	25954	4260
859	25979	4229
860	26013	4199
861	26043	4169
862	26070	4138
863	26093	4107
864	26123	4077
865	26149	4046
866	26175	4015
867	26204	3984
868	26234	3954
869	26258	3923
870	26284	3892
871	26309	3861
872	26339	3831
873	26366	3801
874	26396	3770
875	26436	3742
876	26465	3711
877	26489	3680
878	26519	3650
879	26548	3620
880	26579	3590
881	26603	3559
882	26632	3528
883	26662	3498
884	26687	3467
885	26715	3437
886	26746	3407
887	26782	3378
888	26809	3347
889	26848	3318
890	26877	3288
891	26904	3257
892	26932	3227
893	26959	3196
894	26992	3166
895	27018	3136
896	27047	3105
897	27076	3075
898	27102	3044
899	27131	3014
900	27158	2984
901	27190	2954
902	27216	2923
903	27256	2894
904	27285	2864
905	27307	2833
906	27336	2802
907	27367	2772
908	27394	2742
909	27420	2711
910	27453	2682
911	27483	2651
912	27505	2621
913	27535	2590
914	27569	2561
915	27598	2530
916	27628	2500
917	27658	2470
918	27691	2440
919	27713	2409
920	27739	2379
921	27780	2350
922	27807	2319
923	27830	2289
924	27863	2259
925	27891	2228
926	27919	2198
927	27947	2168
928	27975	2138
929	28002	2107
930	28027	2077
931	28059	2047
932	28087	2017
933	28110	1986
934	28139	1956
935	28169	1926
936	28195	1895
937	28219	1865
938	28247	1835
939	28280	1805
940	28305	1774
941	28329	1744
942	28361	1714
943	28391	1684
944	28415	1653
945	28441	1623
946	28464	1593
947	28494	1563
948	28521	1532
949	28562	1503
950	28589	1473
951	28613	1442
952	28639	1412
953	28664	1382
954	28691	1351
955	28720	1321
956	28759	1292
957	28790	1262
958	28817	1232
959	28840	1201
960	28864	1171
961	28892	1141
962	28921	1111
963	28948	1081
964	28988	1051
965	29016	1021
966	29039	990
967	29068	960
968	29097	930
969	29122	900
970	29151	870
971	29182	840
972	29212	810
973	29234	780
974	29260	750
975	29285	720
976	29314	690
977	29348	660
978	29377	630
979	29407	600
980	29432	570
981	29462	540
982	29493	510
983	29516	479
984	29541	449
985	29567	419
986	29599	389
987	29624	359
988	29649	329
989	29674	299
990	29706	269
991	29750	239
992	29776	209
993	29809	179
994	29837	149
995	29871	119
996	29902	89
997	29930	59
998	29953	29
999	29980	0
